Country,Region,HappinessRank,HappinessScore,Economy,Freedom,Generosity,Health,PerceptionOfCorruption,SocialSupport,DystopiaResidual
Finland,Western Europe,1,7.769,1.34,0.596,0.153,0.986,0.393,1.587,2.714
Denmark,Western Europe,2,7.6,1.383,0.592,0.252,0.996,0.41,1.573,2.394
Norway,Western Europe,3,7.554,1.488,0.603,0.271,1.028,0.341,1.582,2.241
Iceland,Western Europe,4,7.494,1.38,0.591,0.354,1.026,0.118,1.624,2.401
Netherlands,Western Europe,5,7.488,1.396,0.557,0.322,0.999,0.298,1.522,2.394
Switzerland,Western Europe,6,7.48,1.452,0.572,0.263,1.052,0.343,1.526,2.272
Sweden,Western Europe,7,7.343,1.387,0.574,0.267,1.009,0.373,1.487,2.246
New Zealand,Australia and New Zealand,8,7.307,1.303,0.585,0.33,1.026,0.38,1.557,2.126
Canada,North America,9,7.278,1.365,0.584,0.285,1.039,0.308,1.505,2.192
Austria,Western Europe,10,7.246,1.376,0.532,0.244,1.016,0.226,1.475,2.377
Australia,Australia and New Zealand,11,7.228,1.372,0.557,0.332,1.036,0.29,1.548,2.093
Costa Rica,Latin America and Caribbean,12,7.167,1.034,0.558,0.144,0.963,0.093,1.441,2.934
Israel,Middle East and Northern Africa,13,7.139,1.276,0.371,0.261,1.029,0.082,1.455,2.665
Luxembourg,Western Europe,14,7.09,1.609,0.526,0.194,1.012,0.316,1.479,1.954
United Kingdom,Western Europe,15,7.054,1.333,0.45,0.348,0.996,0.278,1.538,2.111
Ireland,Western Europe,16,7.021,1.499,0.516,0.298,0.999,0.31,1.553,1.846
Germany,Western Europe,17,6.985,1.373,0.495,0.261,0.987,0.265,1.454,2.15
Belgium,Western Europe,18,6.923,1.356,0.473,0.16,0.986,0.21,1.504,2.234
United States,North America,19,6.892,1.433,0.454,0.28,0.874,0.128,1.457,2.266
Czech Republic,Central and Eastern Europe,20,6.852,1.269,0.457,0.046,0.92,0.036,1.487,2.637
United Arab Emirates,Middle East and Northern Africa,21,6.825,1.503,0.598,0.262,0.825,0.182,1.31,2.145
Malta,Western Europe,22,6.726,1.3,0.564,0.375,0.999,0.151,1.52,1.817
Mexico,Latin America and Caribbean,23,6.595,1.07,0.433,0.074,0.861,0.073,1.323,2.761
France,Western Europe,24,6.592,1.324,0.436,0.111,1.045,0.183,1.472,2.021
Taiwan,Eastern Asia,25,6.446,1.368,0.351,0.242,0.914,0.097,1.43,2.044
Chile,Latin America and Caribbean,26,6.444,1.159,0.357,0.187,0.92,0.056,1.369,2.396
Guatemala,Latin America and Caribbean,27,6.436,0.8,0.535,0.175,0.746,0.078,1.269,2.833
Saudi Arabia,Middle East and Northern Africa,28,6.375,1.403,0.439,0.08,0.795,0.132,1.357,2.169
Qatar,Middle East and Northern Africa,29,6.374,1.684,0.555,0.22,0.871,0.167,1.313,1.564
Spain,Western Europe,30,6.354,1.286,0.362,0.153,1.062,0.079,1.484,1.928
Panama,Latin America and Caribbean,31,6.321,1.149,0.516,0.109,0.91,0.054,1.442,2.141
Brazil,Latin America and Caribbean,32,6.3,1.004,0.39,0.099,0.802,0.086,1.439,2.48
Uruguay,Latin America and Caribbean,33,6.293,1.124,0.523,0.127,0.891,0.15,1.465,2.013
Singapore,Southeastern Asia,34,6.262,1.572,0.556,0.271,1.141,0.453,1.463,0.806
El Salvador,Latin America and Caribbean,35,6.253,0.794,0.43,0.093,0.789,0.074,1.242,2.831
Italy,Western Europe,36,6.223,1.294,0.231,0.158,1.039,0.03,1.488,1.983
Bahrain,Middle East and Northern Africa,37,6.199,1.362,0.536,0.255,0.871,0.11,1.368,1.697
Slovakia,Central and Eastern Europe,38,6.198,1.246,0.334,0.121,0.881,0.014,1.504,2.098
Trinidad & Tobago,Latin America and Caribbean,39,6.192,1.231,0.489,0.185,0.713,0.016,1.477,2.081
Poland,Central and Eastern Europe,40,6.182,1.206,0.483,0.117,0.884,0.05,1.438,2.004
Uzbekistan,Central and Eastern Europe,41,6.174,0.745,0.631,0.322,0.756,0.24,1.529,1.951
Lithuania,Central and Eastern Europe,42,6.149,1.238,0.291,0.043,0.818,0.042,1.515,2.202
Colombia,Latin America and Caribbean,43,6.125,0.985,0.47,0.099,0.841,0.034,1.41,2.286
Slovenia,Central and Eastern Europe,44,6.118,1.258,0.564,0.144,0.953,0.057,1.523,1.619
Nicaragua,Latin America and Caribbean,45,6.105,0.694,0.435,0.2,0.835,0.127,1.325,2.489
Kosovo,Central and Eastern Europe,46,6.1,0.882,0.489,0.262,0.758,0.006,1.232,2.471
Argentina,Latin America and Caribbean,47,6.086,1.092,0.471,0.066,0.881,0.05,1.432,2.094
Romania,Central and Eastern Europe,48,6.07,1.162,0.462,0.083,0.825,0.005,1.232,2.301
Cyprus,Western Europe,49,6.046,1.263,0.406,0.19,1.042,0.041,1.223,1.881
Ecuador,Latin America and Caribbean,50,6.028,0.912,0.498,0.126,0.868,0.087,1.312,2.225
Kuwait,Middle East and Northern Africa,51,6.021,1.5,0.493,0.142,0.808,0.097,1.319,1.662
Thailand,Southeastern Asia,52,6.008,1.05,0.557,0.359,0.828,0.028,1.409,1.777
Latvia,Central and Eastern Europe,53,5.94,1.187,0.264,0.075,0.812,0.064,1.465,2.073
South Korea,Eastern Asia,54,5.895,1.301,0.159,0.175,1.036,0.056,1.219,1.949
Estonia,Central and Eastern Europe,55,5.893,1.237,0.495,0.103,0.874,0.161,1.528,1.495
